Marque;;trad/moderne;AUT1;AUT2;SBC1;SBC2;ANCR1;ANCR2;ANCR3;ANCR4;WOM1;WOM2;EVANG1;EVANG2;PP1;PP2;Genre;Age;Pays;Authenticité;SBC;WOM;EVANG;WPM;Ancrage;Classe
Bonne maman;;2;6;6;5;6;4;4;4;4;6;6;5;5;5;5;0;Entre 18 et 26 ans;France;6;5,5;6;5;5;4;1
Bonne maman;;1;5;5;4;5;4;4;4;5;5;4;3;3;4;3;1;Plus de 60 ans;France;5;4,5;4,5;3;3,5;4,219;2
Bonne maman;;1;5;4;4;4;3;3;3;4;4;4;3;2;5;3;0;Entre 27 et 39 ans;France;4,5;4;4;2,5;4;3,219;1
Bonne maman;;1;6;5;3;5;4;4;4;3;5;5;3;3;4;3;0;Entre 27 et 39 ans;France;5,5;4;5;3;3,5;3,781;1
Bonne maman;;1;5;5;4;4;4;4;4;5;4;4;1;1;3;4;0;Entre 27 et 39 ans;France;5;4;4;1;3,5;4,219;3
Bonne maman;;1;4;4;4;4;3;3;3;3;4;4;4;4;4;4;0;Entre 40 et 59 ans;France;4;4;4;4;4;3;2
Bonne maman;;1;5;5;4;5;3;2;2;4;6;6;3;3;3;2;0;Entre 27 et 39 ans;France;5;4,5;6;3;2,5;2,684;3
Bonne maman;;1;5;5;2;5;2;2;2;2;4;4;2;2;4;4;1;Entre 27 et 39 ans;France;5;3,5;4;2;4;2;1
Bonne maman;;1;6;6;3;3;6;5;5;6;5;5;4;5;6;6;0;Entre 27 et 39 ans;France;6;3;5;4,5;6;5,465;2
Bonne maman;;1;4;4;5;5;2;3;2;2;4;4;1;1;4;3;0;Entre 27 et 39 ans;France;4;5;4;1;3,5;2,266;1
Bonne maman;;1;5;4;4;4;2;1;2;1;4;4;1;1;4;3;0;Entre 27 et 39 ans;France;4,5;4;4;1;3,5;1,515;1
Bonne maman;;1;5;5;4;4;4;4;4;5;4;5;2;2;4;4;1;Entre 18 et 26 ans;France;5;4;4,5;2;4;4,219;1
